seed,data_size_d,final_test_loss,final_U,final_S,final_F,reducible_loss,reducible_U,reducible_S,U_F_ratio
42,316,0.8678339880824089,0.33036135074643624,3.3181540745862486,0.9999999944839473,0.49880196409702293,-4.846950233283742e-06,0.011851992300920156,0.3303613525687269
42,390,0.8586051780223847,0.33035626619960107,3.3183314910310715,0.9999999870333672,0.48957315403699875,-9.931497068460526e-06,0.012029408745743098,0.33035627048320954
42,482,0.8309509178876877,0.3303684465168247,3.3178887788762412,0.9999999743673804,0.4619188939023018,2.24882015514849e-06,0.011586696590912826,0.3303684549850336
42,595,0.782642331457138,0.33037130501944934,3.3177860071284497,1.0000000056598182,0.4136103074717521,5.1073227798070775e-06,0.01148392484312133,0.33037130314960783
42,735,0.777341408276558,0.3303736200010362,3.31769716682411,1.0000000059081702,0.40830938429117203,7.422304366677679e-06,0.011395084538781575,0.3303736180491326
42,908,0.7255923660278321,0.3303736112902908,3.3177082151326704,0.9999999937388894,0.35656034204244613,7.4135936212749165e-06,0.011406132847342043,0.33037361335879656
42,1122,0.7272170369625092,0.33038238638477485,3.3173671898441777,0.9999999867850139,0.35818501297712324,1.6188688105323035e-05,0.011065107558849263,0.3303823907507736
42,1385,0.7020277013421059,0.33040715662955544,3.316455027206272,0.9999999862883084,0.33299567735672,4.095893288591501e-05,0.01015294492094343,0.3304071611599965
42,1711,0.6062832526922226,0.33039760391926176,3.316794584444383,1.0000000004444127,0.23725122870683668,3.140622259223402e-05,0.010492502159054506,0.3303976037724289
42,2113,0.608466070508957,0.33040600992863717,3.316492399183523,0.9999999793344335,0.23943404652357103,3.981223196763972e-05,0.010190316898194496,0.3304060167566647
42,2610,0.5877596386909485,0.33041869854080796,3.316008178393338,0.9999999803278449,0.21872761470556257,5.25008441384367e-05,0.009706096108009543,0.33041870504085596
42,3223,0.5937164798736573,0.33045488281797286,3.3146556190851886,0.9999999820663134,0.22468445588827135,8.86851213033335e-05,0.008353536799860173,0.3304548887442473
42,3981,0.5195233296394348,0.3304528639075991,3.3147232648845826,1.0000000059081706,0.1504913056540489,8.666621092956461e-05,0.008421182599254173,0.3304528619552272
42,4916,0.5166038526058196,0.33045903194963877,3.3144771604947914,0.9999999780926708,0.14757182862043372,9.283425296924275e-05,0.00817507820946295,0.33045903918911373
42,6072,0.48943058772087095,0.3304869621682609,3.3134595263988973,0.9999999977125325,0.12039856373548502,0.00012076447159137249,0.007157444113568889,0.3304869629242391
42,7498,0.48066692376136777,0.33050106977292343,3.312864393951593,0.9999999758574964,0.11163489977598184,0.00013487207625390019,0.006562311666264531,0.33050107775204685
42,9261,0.4581552251577377,0.33048901690386656,3.3133742035766014,0.9999999865366614,0.08912320117235178,0.00012281920719703354,0.0070721212912729925,0.3304890213533521
42,11437,0.44079596977233887,0.3305236719034933,3.312051809239367,1.0000000019345279,0.07176394578695294,0.0001574742068237711,0.005749726954038525,0.33052367126408605
42,14125,0.46127746272087095,0.330536610897566,3.3115582882477677,0.9999999674135048,0.09224543873548502,0.00017041320089644652,0.005256205962439253,0.330536621668596
42,17444,0.40445342836380005,0.33054855634973307,3.311003189026463,0.9999999838047819,0.03542140437841412,0.00018235865306354127,0.004701106741134442,0.3305485617030391
42,21544,0.3877193573951721,0.3305914955364619,3.3093935598337816,0.9999999825630184,0.018687333409786178,0.00022529783979235996,0.003091477548453181,0.3305915013009798
42,26607,0.38126335664987565,0.3306077107521902,3.308826441808558,0.9999999969674742,0.012231332664489725,0.00024151305552067015,0.0025243595232296023,0.3306077117547666
42,32859,0.37390404427051543,0.33070870387710105,3.3048733262901773,0.9999999994510016,0.004872020285129508,0.00034250618043152325,-0.001428755995151132,0.3307087040586596
42,40581,0.3597069001197815,0.3307483443711575,3.303416175367128,0.9999999798311396,-0.009325123865604412,0.0003821466744879931,-0.0028859069182005648,0.3307483510419748
42,50118,0.34256646149158476,0.33070579911736053,3.3050009081269986,0.9999999840531346,-0.026465562493801165,0.00033960142069100474,-0.0013011741583297542,0.3307058043910815
